Campaign_Group,Campaign_Name,Ad_Name,Date,Objective,Ad_Format,Device,Job_Function,Seniority,Company_Size,Industry,Impressions,Clicks,CTR,Conversions,Conversion_Rate,Spend,CPC,Revenue,ROAS,Leads,Lead_Form_Completion_Rate,Engagement_Rate
Holiday_Group,Holiday_Campaign_2024,Operations_Ad,2024-06-01,Brand_Awareness,Video,Desktop,Operations,VP,1001-5000,Consulting,489574,11720,2.39,806,6.88,33013.01,2.82,169803.98,5.14,806,74.44,3.01
Holiday_Group,Holiday_Campaign_2024,Operations_Ad,2024-06-01,Lead_Generation,Sponsored_Content,Mobile,Operations,Director,1001-5000,Marketing,418694,12003,2.87,718,5.98,31496.45,2.62,115968.07,3.68,718,68.64,3.15
Black_Group,Black_Friday_2024,Sales_Ad,2024-06-01,Brand_Awareness,Single_Image,Mobile,Sales,Director,501-1000,Marketing,570631,12055,2.11,669,5.55,34201.79,2.84,137184.16,4.01,669,77.24,3.09
Black_Group,Black_Friday_2024,IT_Ad,2024-06-01,Conversions,Single_Image,Mobile,IT,Director,1001-5000,Marketing,225379,7185,3.19,373,5.19,19113.34,2.66,61742.53,3.23,373,65.61,3.7
Cyber_Group,Cyber_Monday_2024,Marketing_Ad,2024-06-01,Conversions,Sponsored_Content,Desktop,Marketing,Manager,501-1000,Technology,349556,10306,2.95,817,7.93,23658.58,2.3,168364.43,7.12,817,75.14,2.93
Cyber_Group,Cyber_Monday_2024,Finance_Ad,2024-06-01,Lead_Generation,Carousel,Mobile,Finance,Manager,10001+,Technology,356234,10493,2.95,807,7.69,29776.88,2.84,152599.4,5.12,807,74.26,3.2
Summer_Group,Summer_Sale_2024,Operations_Ad,2024-06-01,Conversions,Sponsored_Content,Mobile,Operations,Director,1001-5000,Consulting,420085,8872,2.11,796,8.97,24771.98,2.79,165505.59,6.68,796,76.74,4.3
Summer_Group,Summer_Sale_2024,HR_Ad,2024-06-01,Brand_Awareness,Single_Image,Desktop,HR,VP,1001-5000,Consulting,347127,7701,2.22,505,6.56,19681.97,2.56,91530.02,4.65,505,74.23,3.01
Back_Group,Back_To_School_2024,Sales_Ad,2024-06-01,Lead_Generation,Sponsored_Content,Desktop,Sales,C-Level,10001+,Marketing,407382,12743,3.13,854,6.7,28232.31,2.22,152895.96,5.42,854,72.63,3.1
Back_Group,Back_To_School_2024,Sales_Ad,2024-06-01,Lead_Generation,Carousel,Mobile,Sales,Manager,1001-5000,Technology,620412,21800,3.51,1952,8.95,60590.63,2.78,419510.25,6.92,1952,69.19,4.03
Spring_Group,Spring_Launch_2024,Marketing_Ad,2024-06-01,Brand_Awareness,Video,Desktop,Marketing,Manager,5001-10000,Consulting,447582,10801,2.41,658,6.09,29075.69,2.69,110378.43,3.8,658,73.91,3.29
Spring_Group,Spring_Launch_2024,IT_Ad,2024-06-01,Brand_Awareness,Single_Image,Desktop,IT,Manager,5001-10000,Education,455348,15665,3.44,1307,8.34,32784.16,2.09,239852.95,7.32,1307,76.58,3.51
Valentine_Group,Valentine_Day_2024,Marketing_Ad,2024-06-01,Lead_Generation,Video,Desktop,Marketing,C-Level,501-1000,Technology,494272,13257,2.68,674,5.08,36866.88,2.78,135930.43,3.69,674,66.81,4.15
Valentine_Group,Valentine_Day_2024,HR_Ad,2024-06-01,Lead_Generation,Carousel,Desktop,HR,C-Level,10001+,Education,295011,7462,2.53,608,8.15,19836.77,2.66,120153.89,6.06,608,68.58,3.76
New_Group,New_Year_2024,Sales_Ad,2024-06-01,Conversions,Single_Image,Desktop,Sales,Director,5001-10000,Education,438797,15641,3.56,994,6.36,37595.61,2.4,209301.02,5.57,994,68.5,4.32
New_Group,New_Year_2024,HR_Ad,2024-06-01,Brand_Awareness,Video,Mobile,HR,Director,5001-10000,Marketing,360444,10998,3.05,844,7.67,23192.8,2.11,143768.75,6.2,844,75.03,3.08
Q3_Group,Q3_Promo_2024,IT_Ad,2024-06-01,Brand_Awareness,Single_Image,Mobile,IT,Manager,5001-10000,Consulting,183834,5075,2.76,394,7.76,13951.63,2.75,80428.85,5.76,394,67.36,3.22
Q3_Group,Q3_Promo_2024,Sales_Ad,2024-06-01,Brand_Awareness,Carousel,Desktop,Sales,VP,10001+,Consulting,424800,8459,1.99,561,6.63,23466.03,2.77,92761.66,3.95,561,76.29,4.27
Flash_Group,Flash_Sale_2024,IT_Ad,2024-06-01,Brand_Awareness,Sponsored_Content,Desktop,IT,VP,1001-5000,Marketing,277394,7098,2.56,436,6.14,16790.19,2.37,88090.62,5.25,436,68.96,2.93
Flash_Group,Flash_Sale_2024,Marketing_Ad,2024-06-01,Brand_Awareness,Sponsored_Content,Mobile,Marketing,Manager,5001-10000,Technology,421218,12606,2.99,727,5.77,28295.13,2.24,140299.96,4.96,727,67.85,2.99
Holiday_Group,Holiday_Campaign_2024,Marketing_Ad,2024-06-02,Brand_Awareness,Carousel,Desktop,Marketing,VP,501-1000,Marketing,270692,8843,3.27,778,8.8,24715.93,2.79,149364.7,6.04,778,77.4,3.1
Holiday_Group,Holiday_Campaign_2024,Marketing_Ad,2024-06-02,Conversions,Single_Image,Desktop,Marketing,Manager,1001-5000,Education,622533,19567,3.14,1224,6.26,39371.19,2.01,263889.19,6.7,1224,74.68,2.96
Black_Group,Black_Friday_2024,Marketing_Ad,2024-06-02,Lead_Generation,Sponsored_Content,Desktop,Marketing,Manager,5001-10000,Education,234323,7146,3.05,581,8.13,20820.74,2.91,114981.8,5.52,581,76.8,3.83
Black_Group,Black_Friday_2024,Sales_Ad,2024-06-02,Lead_Generation,Sponsored_Content,Desktop,Sales,VP,10001+,Technology,327398,9127,2.79,709,7.77,24316.1,2.66,136832.73,5.63,709,68.5,4.18
Cyber_Group,Cyber_Monday_2024,Operations_Ad,2024-06-02,Brand_Awareness,Sponsored_Content,Desktop,Operations,Manager,1001-5000,Technology,395609,8813,2.23,652,7.4,23423.27,2.66,115066.95,4.91,652,76.26,3.29
Cyber_Group,Cyber_Monday_2024,Marketing_Ad,2024-06-02,Lead_Generation,Sponsored_Content,Mobile,Marketing,Director,10001+,Education,282720,5614,1.99,380,6.77,16080.73,2.86,65994.17,4.1,380,71.95,3.58
Summer_Group,Summer_Sale_2024,Finance_Ad,2024-06-02,Lead_Generation,Sponsored_Content,Mobile,Finance,Director,10001+,Marketing,340454,11754,3.45,946,8.05,26160.65,2.23,173656.23,6.64,946,69.08,3.41
Summer_Group,Summer_Sale_2024,IT_Ad,2024-06-02,Conversions,Video,Mobile,IT,Director,1001-5000,Consulting,338329,9689,2.86,552,5.7,26159.81,2.7,102533.64,3.92,552,76.12,2.88
Back_Group,Back_To_School_2024,HR_Ad,2024-06-02,Lead_Generation,Single_Image,Desktop,HR,VP,5001-10000,Technology,438811,14393,3.28,1274,8.85,33624.6,2.34,259175.46,7.71,1274,72.51,3.17
Back_Group,Back_To_School_2024,Finance_Ad,2024-06-02,Lead_Generation,Video,Mobile,Finance,VP,5001-10000,Marketing,392012,13174,3.36,991,7.52,35244.55,2.68,200410.8,5.69,991,77.77,2.9
Spring_Group,Spring_Launch_2024,HR_Ad,2024-06-02,Conversions,Carousel,Mobile,HR,C-Level,10001+,Consulting,332521,10947,3.29,680,6.21,28310.19,2.59,141710.08,5.01,680,76.87,3.86
Spring_Group,Spring_Launch_2024,Finance_Ad,2024-06-02,Conversions,Video,Mobile,Finance,VP,10001+,Education,488103,12570,2.58,1026,8.16,28703.04,2.28,201204.79,7.01,1026,66.13,3.08
Valentine_Group,Valentine_Day_2024,Finance_Ad,2024-06-02,Conversions,Sponsored_Content,Mobile,Finance,VP,501-1000,Consulting,407084,12653,3.11,648,5.12,28697.98,2.27,117125.02,4.08,648,75.72,3.24
Valentine_Group,Valentine_Day_2024,IT_Ad,2024-06-02,Lead_Generation,Sponsored_Content,Mobile,IT,C-Level,10001+,Consulting,422925,11413,2.7,868,7.61,28508.74,2.5,162684.23,5.71,868,64.72,3.7
New_Group,New_Year_2024,Sales_Ad,2024-06-02,Conversions,Single_Image,Mobile,Sales,Manager,1001-5000,Consulting,236629,5432,2.3,446,8.21,15419.16,2.84,79250.58,5.14,446,71.55,4.27
New_Group,New_Year_2024,HR_Ad,2024-06-02,Conversions,Carousel,Mobile,HR,C-Level,5001-10000,Education,170689,6062,3.55,447,7.37,15941.21,2.63,97241.65,6.1,447,68.64,3.28
Q3_Group,Q3_Promo_2024,Finance_Ad,2024-06-02,Conversions,Single_Image,Desktop,Finance,C-Level,5001-10000,Education,473259,15245,3.22,836,5.48,34915.11,2.29,165716.76,4.75,836,67.07,2.89
Q3_Group,Q3_Promo_2024,HR_Ad,2024-06-02,Brand_Awareness,Sponsored_Content,Desktop,HR,Manager,1001-5000,Consulting,461484,15395,3.34,1216,7.9,44359.82,2.88,217904.67,4.91,1216,70.1,3.16
Flash_Group,Flash_Sale_2024,IT_Ad,2024-06-02,Conversions,Carousel,Mobile,IT,VP,5001-10000,Technology,311523,9589,3.08,635,6.62,19587.68,2.04,122026.23,6.23,635,75.22,4.21
Flash_Group,Flash_Sale_2024,Operations_Ad,2024-06-02,Brand_Awareness,Carousel,Desktop,Operations,Director,5001-10000,Marketing,167202,5621,3.36,341,6.07,11379.54,2.02,55479.92,4.88,341,64.81,2.93
Holiday_Group,Holiday_Campaign_2024,IT_Ad,2024-06-03,Brand_Awareness,Single_Image,Desktop,IT,Director,5001-10000,Consulting,250105,8585,3.43,610,7.11,19214.52,2.24,115452.04,6.01,610,78.03,3.41
Holiday_Group,Holiday_Campaign_2024,Operations_Ad,2024-06-03,Conversions,Sponsored_Content,Desktop,Operations,C-Level,5001-10000,Technology,232351,8314,3.58,522,6.28,21123.17,2.54,92856.86,4.4,522,65.13,3.68
Black_Group,Black_Friday_2024,Sales_Ad,2024-06-03,Brand_Awareness,Sponsored_Content,Desktop,Sales,C-Level,5001-10000,Technology,383565,10576,2.76,754,7.13,29895.69,2.83,136656.79,4.57,754,67.46,3.23
Black_Group,Black_Friday_2024,Marketing_Ad,2024-06-03,Conversions,Carousel,Mobile,Marketing,VP,1001-5000,Marketing,306659,11121,3.63,812,7.3,25729.66,2.31,143851.06,5.59,812,65.94,3.81
Cyber_Group,Cyber_Monday_2024,Sales_Ad,2024-06-03,Brand_Awareness,Single_Image,Mobile,Sales,VP,5001-10000,Marketing,512637,10631,2.07,768,7.22,30033.97,2.83,138710.96,4.62,768,74.97,3.04
Cyber_Group,Cyber_Monday_2024,Sales_Ad,2024-06-03,Lead_Generation,Sponsored_Content,Mobile,Sales,VP,501-1000,Marketing,270725,7802,2.88,518,6.64,21218.49,2.72,108900.67,5.13,518,73.81,3.99
Summer_Group,Summer_Sale_2024,IT_Ad,2024-06-03,Brand_Awareness,Single_Image,Mobile,IT,Manager,5001-10000,Education,300458,10153,3.38,794,7.82,23350.4,2.3,167542.62,7.18,794,71.36,3.86
Summer_Group,Summer_Sale_2024,Marketing_Ad,2024-06-03,Lead_Generation,Video,Mobile,Marketing,Manager,1001-5000,Marketing,212266,7070,3.33,627,8.87,19105.34,2.7,126640.51,6.63,627,76.35,3.11
Back_Group,Back_To_School_2024,HR_Ad,2024-06-03,Brand_Awareness,Single_Image,Desktop,HR,Manager,5001-10000,Technology,589312,20985,3.56,1615,7.7,57901.76,2.76,346111.47,5.98,1615,65.24,2.9
Back_Group,Back_To_School_2024,Sales_Ad,2024-06-03,Conversions,Single_Image,Mobile,Sales,VP,5001-10000,Technology,661700,20561,3.11,1338,6.51,42599.99,2.07,273195.14,6.41,1338,74.56,3.12
