Campaign_Name,Platform,Date,Impressions,Clicks,CTR,Conversions,Spend,CPC,CPA,ROAS,Reach,Frequency
Q4_Holiday_2024,google_ads,2024-10-01,1250000,25000,2.0,850,45000,1.80,52.94,4.2,980000,1.28
Q4_Holiday_2024,meta_ads,2024-10-01,980000,18500,1.89,620,32000,1.73,51.61,3.8,750000,1.31
Q4_Holiday_2024,linkedin_ads,2024-10-01,450000,12000,2.67,380,18000,1.50,47.37,3.5,380000,1.18
Q4_Holiday_2024,dv360,2024-10-01,2100000,31500,1.5,720,38000,1.21,52.78,3.2,1800000,1.17
Q4_Holiday_2024,snapchat_ads,2024-10-01,1500000,22500,1.5,450,28000,1.24,62.22,2.8,1200000,1.25
Q4_Holiday_2024,cm360,2024-10-01,1800000,27000,1.5,600,35000,1.30,58.33,3.0,1500000,1.20
Black_Friday_2024,google_ads,2024-11-24,2500000,50000,2.0,1800,85000,1.70,47.22,5.1,2000000,1.25
Black_Friday_2024,meta_ads,2024-11-24,1800000,35000,1.94,1200,62000,1.77,51.67,4.8,1400000,1.29
Black_Friday_2024,linkedin_ads,2024-11-24,680000,18500,2.72,620,28000,1.51,45.16,4.5,580000,1.17
Black_Friday_2024,snapchat_ads,2024-11-24,2200000,38000,1.73,850,42000,1.11,49.41,4.2,1800000,1.22
Cyber_Monday_2024,google_ads,2024-11-27,2800000,56000,2.0,2100,92000,1.64,43.81,5.5,2300000,1.22
Cyber_Monday_2024,meta_ads,2024-11-27,2100000,41000,1.95,1450,68000,1.66,46.90,5.2,1650000,1.27
Cyber_Monday_2024,linkedin_ads,2024-11-27,650000,18000,2.77,580,28000,1.56,48.28,4.2,550000,1.18
Cyber_Monday_2024,dv360,2024-11-27,3200000,48000,1.5,1100,58000,1.21,52.73,4.0,2800000,1.14
Back_To_School_2024,google_ads,2024-08-15,1800000,36000,2.0,1200,62000,1.72,51.67,4.5,1450000,1.24
Back_To_School_2024,meta_ads,2024-08-15,1350000,26000,1.93,850,42000,1.62,49.41,4.2,1050000,1.29
Back_To_School_2024,linkedin_ads,2024-08-15,520000,14500,2.79,480,22000,1.52,45.83,3.9,440000,1.18
Summer_Sale_2024,google_ads,2024-07-01,2200000,44000,2.0,1500,75000,1.70,50.00,4.8,1800000,1.22
Summer_Sale_2024,meta_ads,2024-07-01,1650000,32000,1.94,1050,52000,1.63,49.52,4.5,1300000,1.27
Summer_Sale_2024,snapchat_ads,2024-07-01,1900000,32000,1.68,720,38000,1.19,52.78,3.8,1550000,1.23
Spring_Launch_2024,google_ads,2024-03-15,1600000,32000,2.0,1100,58000,1.81,52.73,4.3,1300000,1.23
Spring_Launch_2024,meta_ads,2024-03-15,1200000,23000,1.92,750,38000,1.65,50.67,4.0,950000,1.26
Spring_Launch_2024,linkedin_ads,2024-03-15,480000,13500,2.81,450,20000,1.48,44.44,3.7,410000,1.17
Valentine_Day_2024,google_ads,2024-02-10,950000,19000,2.0,650,35000,1.84,53.85,4.1,780000,1.22
Valentine_Day_2024,meta_ads,2024-02-10,720000,14000,1.94,480,24000,1.71,50.00,3.9,580000,1.24
Valentine_Day_2024,snapchat_ads,2024-02-10,850000,14500,1.71,350,18000,1.24,51.43,3.2,700000,1.21
New_Year_2024,google_ads,2024-01-05,1100000,22000,2.0,750,40000,1.82,53.33,4.4,900000,1.22
New_Year_2024,meta_ads,2024-01-05,850000,16500,1.94,550,28000,1.70,50.91,4.1,680000,1.25
New_Year_2024,linkedin_ads,2024-01-05,420000,11500,2.74,380,17000,1.48,44.74,3.6,360000,1.17
