question_id,question,category,difficulty,success,execution_time,sql_generated,error
1,What is the total spend across all campaigns?,basic_aggregation,easy,True,5.45603084564209,SELECT SUM(Spend) AS Total_Spend FROM meta_campaigns;,
2,Which campaign has the highest ROAS?,performance_ranking,easy,True,5.003671169281006,"SELECT Campaign_Name, MAX(ROAS) as Highest_ROAS
FROM meta_campaigns
GROUP BY Campaign_Name
ORDER BY Highest_ROAS DESC
LIMIT 1;",
3,Show average CTR by placement,dimensional_analysis,easy,True,5.099332332611084,"SELECT Placement, AVG(CTR) AS Average_CTR
FROM meta_campaigns
GROUP BY Placement",
4,What is the total revenue from Instagram placements?,filtered_aggregation,easy,True,5.448922872543335,"SELECT SUM(Revenue) AS Total_Revenue
FROM meta_campaigns
WHERE Placement LIKE 'Instagram_%';",
5,Compare engagement rate between Mobile and Desktop,comparative_analysis,medium,True,4.502457857131958,"SELECT Device, 
       SUM(Engagement) / SUM(Impressions) AS Engagement_Rate
FROM meta_campaigns
GROUP BY Device;",
6,Which ad set has the best conversion rate?,performance_ranking,easy,True,4.094898223876953,"SELECT Ad_Set_Name, 
       SUM(Conversions) / SUM(Clicks) AS Conversion_Rate 
FROM meta_campaigns 
GROUP BY Ad_Set_Name 
ORDER BY Conversion_Rate DESC 
LIMIT 1;",
7,Show daily spend trend for the last 30 days,time_series,medium,True,3.1156387329101562,"SELECT CAST(Date AS DATE) AS Date, SUM(Spend) AS Daily_Spend
FROM meta_campaigns
WHERE CAST(Date AS DATE) >= DATE_TRUNC('DAY', CURRENT_DATE - INTERVAL '30' DAY)
GROUP BY CAST(Date AS DATE)
ORDER BY Date ASC;",
8,What is the average video completion rate for Stories vs Reels?,comparative_analysis,medium,True,9.888641595840454,"SELECT 
    Placement, 
    AVG(Video_Avg_Watch_Time / Video_Views) AS Avg_Video_Completion_Rate
FROM 
    meta_campaigns
WHERE 
    Placement IN ('Instagram_Stories', 'Instagram_Reels') AND Video_Views > 0
GROUP BY 
    Placement;",
9,Which age group has the highest conversion rate?,demographic_analysis,medium,True,4.508507490158081,"SELECT Age, SUM(Conversions) / SUM(Impressions) AS Conversion_Rate
FROM meta_campaigns
GROUP BY Age
ORDER BY Conversion_Rate DESC
LIMIT 1;",
10,Show top 5 campaigns by total revenue,performance_ranking,easy,True,7.469386577606201,"SELECT Campaign_Name, SUM(Revenue) as Total_Revenue
FROM meta_campaigns
GROUP BY Campaign_Name
ORDER BY Total_Revenue DESC
LIMIT 5",
11,What is the cost per conversion by objective?,efficiency_metrics,medium,True,4.302306652069092,"SELECT Objective, SUM(Spend) / SUM(Conversions) AS Cost_Per_Conversion
FROM meta_campaigns
GROUP BY Objective",
12,Compare male vs female performance by ROAS,demographic_analysis,medium,True,3.5816457271575928,"SELECT Gender, AVG(ROAS) as Average_ROAS
FROM meta_campaigns
GROUP BY Gender;",
13,Which placement has the highest engagement per impression?,efficiency_metrics,medium,True,5.379498720169067,"SELECT Placement, SUM(Engagement) / SUM(Impressions) AS Engagement_Per_Impression
FROM meta_campaigns
GROUP BY Placement
ORDER BY Engagement_Per_Impression DESC
LIMIT 1;",
14,Show weekly spend trend,time_series,medium,True,5.1680498123168945,"SELECT DATE_TRUNC('week', CAST(Date AS DATE)) AS Week, SUM(Spend) AS Weekly_Spend
FROM meta_campaigns
GROUP BY Week
ORDER BY Week;",
15,What is the average frequency by campaign?,reach_frequency,easy,True,6.757689952850342,"SELECT Campaign_Name, AVG(Frequency) as Average_Frequency
FROM meta_campaigns
GROUP BY Campaign_Name",
16,Which campaigns have ROAS greater than 5?,performance_filtering,easy,True,5.9653403759002686,"SELECT Campaign_Name 
FROM meta_campaigns 
WHERE ROAS > 5;",
17,Show total impressions and reach by device,dimensional_analysis,easy,True,4.886126756668091,"SELECT Device, SUM(Impressions) AS Total_Impressions, SUM(Reach) AS Total_Reach
FROM meta_campaigns
GROUP BY Device",
18,What is the link click rate by placement?,efficiency_metrics,medium,True,3.997361660003662,"SELECT Placement, SUM(Link_Clicks) / SUM(Impressions) AS Link_Click_Rate
FROM meta_campaigns
GROUP BY Placement;",
19,Compare video views between age groups for video placements,demographic_analysis,medium,True,3.905566453933716,"SELECT Age, Placement, SUM(Video_Views) AS Total_Video_Views
FROM meta_campaigns
WHERE Placement LIKE '%video%'
GROUP BY Age, Placement
ORDER BY Age, Total_Video_Views DESC;",
